,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
212,Isaiah Hartenstein,NYK,24,30,17,13,609.6,183,77,147,52.4,6,25,24.0,23,29,79.3,92,119,211,25,26,21,27,78,592,1,0,29
213,Kyle Anderson,MIN,29,25,11,14,607.6,182,66,138,47.8,10,29,34.5,40,50,80.0,13,93,106,85,36,28,20,47,545,1,0,1
214,Luke Kennard,LAC,26,20,13,7,444.3,182,67,128,52.3,39,80,48.8,9,10,90.0,4,49,53,20,21,11,2,27,294,0,0,72
215,Terence Davis,SAC,25,24,13,11,329.0,181,65,144,45.1,37,96,38.5,14,16,87.5,12,56,68,33,22,17,6,47,359,0,0,14
216,Chris Paul,PHX,37,16,9,7,501.0,178,57,147,38.8,24,70,34.3,40,47,85.1,8,70,78,144,32,24,4,38,540,4,0,48
217,Josh Green,DAL,22,25,13,12,507.1,176,60,103,58.3,24,54,44.4,32,45,71.1,22,35,57,29,18,23,1,62,342,0,0,89
218,Jock Landale,PHX,27,27,15,12,365.8,175,67,128,52.3,6,36,16.7,35,44,79.5,42,58,100,20,23,6,19,50,377,1,0,87
219,Jalen Suggs,ORL,21,14,4,10,404.5,173,65,155,41.9,20,68,29.4,23,35,65.7,15,31,46,76,47,22,9,44,388,0,0,-47
220,Ben Simmons,BKN,26,21,12,9,578.1,172,77,126,61.1,0,1,0.0,18,35,51.4,19,121,140,124,48,27,12,76,595,2,0,1
221,Seth Curry,BKN,32,20,14,6,434.6,171,62,142,43.7,33,82,40.2,14,15,93.3,4,38,42,44,21,11,4,38,311,0,0,44
222,Davion Mitchell,SAC,24,27,15,12,531.1,170,69,158,43.7,20,69,29.0,12,17,70.6,5,41,46,66,31,13,8,43,356,0,0,9
223,Jeremy Sochan,SAS,19,23,6,17,553.1,169,75,165,45.5,8,46,17.4,11,24,45.8,27,66,93,50,33,19,10,58,410,0,0,-110
224,Cam Reddish,NYK,23,20,9,11,437.9,168,61,136,44.9,17,56,30.4,29,33,87.9,7,24,31,20,15,15,8,32,289,0,0,-11
225,Gabe Vincent,MIA,26,19,9,10,471.8,168,60,154,39.0,27,91,29.7,21,25,84.0,5,34,39,56,26,16,2,49,327,0,0,-14
226,Jeff Green,DEN,36,22,14,8,423.5,168,63,121,52.1,8,27,29.6,34,45,75.6,21,42,63,26,21,7,6,39,301,0,0,-65
227,Kawhi Leonard,LAC,31,11,9,2,292.0,168,64,144,44.4,10,43,23.3,30,41,73.2,12,55,67,36,16,10,3,17,325,0,0,83
228,Troy Brown Jr.,LAL,23,26,12,14,609.4,165,63,149,42.3,22,72,30.6,17,17,100,22,86,108,21,23,19,3,37,369,1,0,-23
229,JaMychal Green,GSW,32,28,13,15,417.5,163,64,125,51.2,13,49,26.5,22,30,73.3,40,72,112,21,32,13,10,57,366,0,0,-62
230,Mitchell Robinson,NYK,24,22,13,9,544.7,163,72,101,71.3,0,0,0.0,19,39,48.7,93,93,186,18,14,14,43,65,570,2,0,66
231,Dewayne Dedmon,MIA,33,25,15,10,306.3,162,61,120,50.8,11,35,31.4,29,40,72.5,25,68,93,15,16,5,12,51,331,0,0,-82
232,Quentin Grimes,NYK,22,20,11,9,494.3,162,58,120,48.3,28,75,37.3,18,22,81.8,15,53,68,35,20,14,10,52,348,0,0,72
233,Coby White,CHI,22,21,8,13,421.8,161,59,143,41.3,31,93,33.3,12,17,70.6,3,49,52,38,18,13,4,36,313,0,0,13
234,Drew Eubanks,POR,25,28,15,13,481.8,161,68,91,74.7,1,2,50.0,24,35,68.6,38,73,111,23,22,11,27,52,421,0,0,0
235,Moritz Wagner,ORL,25,13,6,7,339.9,160,55,112,49.1,12,44,27.3,38,42,90.5,25,61,86,28,23,10,4,45,324,2,0,-51
236,Cam Thomas,BKN,21,23,15,8,340.6,159,51,129,39.5,10,29,34.5,47,60,78.3,3,27,30,33,17,9,3,22,264,0,0,28
237,Devonte' Graham,NOP,27,29,18,11,440.5,159,48,129,37.2,38,105,36.2,25,31,80.6,7,37,44,60,18,14,7,24,347,0,0,29
238,Zach Collins,SAS,25,18,8,10,375.1,159,64,120,53.3,12,38,31.6,19,26,73.1,33,71,104,53,44,10,18,69,403,0,0,-82
239,Jordan Nwora,MIL,24,25,18,7,428.0,158,52,143,36.4,27,74,36.5,27,32,84.4,20,61,81,25,23,8,3,22,303,0,0,-75
240,Hamidou Diallo,DET,24,25,5,20,378.8,157,60,124,48.4,2,13,15.4,35,55,63.6,23,47,70,23,21,13,5,53,309,0,0,-19
241,Theo Maledon,CHA,21,28,7,21,465.1,156,52,123,42.3,17,48,35.4,35,38,92.1,8,63,71,66,30,19,5,28,382,0,0,-89
242,Oshae Brissett,IND,24,26,12,14,406.2,154,45,107,42.1,24,65,36.9,40,55,72.7,18,58,76,11,13,18,5,35,318,0,0,6
243,Isaiah Joe,OKC,23,23,10,13,256.1,152,48,101,47.5,38,83,45.8,18,21,85.7,3,39,42,23,13,11,2,27,263,0,0,94
244,Reggie Bullock,DAL,31,29,15,14,802.3,151,49,142,34.5,38,117,32.5,15,21,71.4,11,82,93,27,12,21,3,64,363,0,0,10
245,Kevin Knox II,DET,23,25,6,19,354.0,150,53,111,47.7,27,70,38.6,17,22,77.3,14,47,61,12,13,10,9,47,285,0,0,-10
246,Nickeil Alexander-Walker,UTA,24,21,11,10,316.7,150,54,107,50.5,26,59,44.1,16,22,72.7,5,28,33,46,29,13,8,34,293,0,0,-23
247,T.J. McConnell,IND,30,28,13,15,490.4,150,65,146,44.5,4,16,25.0,16,18,88.9,16,50,66,122,45,31,5,34,475,1,0,-27
248,Kenrich Williams,OKC,28,22,10,12,461.1,149,63,123,51.2,16,44,36.4,7,17,41.2,37,51,88,34,8,14,4,43,352,0,0,-14
249,Alex Caruso,CHI,28,28,11,17,715.0,148,49,117,41.9,23,65,35.4,27,36,75.0,11,65,76,106,39,43,19,65,545,1,0,37
250,Donte DiVincenzo,GSW,25,23,13,10,472.3,148,50,129,38.8,32,86,37.2,16,20,80.0,20,75,95,62,33,27,2,46,409,1,0,-4
251,Thomas Bryant,LAL,25,15,9,6,244.1,148,57,83,68.7,6,14,42.9,28,41,68.3,20,49,69,11,8,4,9,25,278,1,0,20
252,Aaron Wiggins,OKC,23,22,10,12,427.2,147,54,109,49.5,17,43,39.5,22,29,75.9,21,62,83,37,19,12,4,37,331,1,0,36
253,Dwight Powell,DAL,31,26,14,12,437.8,147,56,81,69.1,0,1,0.0,35,53,66.0,47,43,90,13,20,14,10,64,327,0,0,66
254,Javonte Green,CHI,29,25,9,16,403.5,147,56,96,58.3,12,31,38.7,23,35,65.7,24,53,77,19,18,21,17,41,364,0,0,57
255,Duncan Robinson,MIA,28,22,10,12,388.9,146,48,134,35.8,33,103,32.0,17,18,94.4,6,38,44,29,15,6,0,44,245,0,0,-26
256,Yuta Watanabe,BKN,28,18,9,9,344.1,146,54,96,56.3,29,55,52.7,9,13,69.2,15,41,56,20,8,7,10,28,286,0,0,12
257,George Hill,MIL,36,29,21,8,571.6,143,47,110,42.7,19,60,31.7,30,42,71.4,12,51,63,76,26,12,3,34,352,0,0,45
258,Taurean Prince,MIN,28,18,10,8,351.6,142,51,103,49.5,21,54,38.9,19,22,86.4,6,39,45,21,21,6,4,43,237,0,0,9
259,Landry Shamet,PHX,25,21,13,8,350.3,141,45,116,38.8,30,82,36.6,21,24,87.5,8,14,22,34,17,14,3,29,252,0,0,70
260,Andre Drummond,CHI,29,22,8,14,305.5,140,60,107,56.1,0,2,0.0,20,34,58.8,50,107,157,19,26,14,8,47,397,4,0,-22
261,Dennis Smith Jr.,CHA,25,15,4,11,419.0,140,62,134,46.3,10,30,33.3,6,12,50.0,9,40,49,85,23,27,10,34,414,1,0,13
262,Jalen Johnson,ATL,21,28,14,14,458.7,140,57,128,44.5,10,46,21.7,16,23,69.6,19,85,104,29,16,15,14,51,379,1,0,-48
263,Aaron Holiday,ATL,26,26,15,11,470.7,139,51,120,42.5,18,43,41.9,19,23,82.6,14,28,42,43,21,21,5,48,311,0,0,4
264,LaMelo Ball,CHA,21,6,1,5,201.1,139,50,110,45.5,26,67,38.8,13,15,86.7,1,18,19,40,16,5,2,18,227,1,0,-47
265,Thaddeus Young,TOR,34,27,10,17,464.6,139,61,113,54.0,4,19,21.1,13,16,81.3,45,55,100,49,21,29,3,47,408,0,0,-33
266,Derrick Rose,NYK,34,22,10,12,288.2,138,55,138,39.9,18,52,34.6,10,10,100,8,29,37,42,18,7,5,15,263,0,0,-3
267,Maxi Kleber,DAL,30,22,13,9,564.3,137,51,104,49.0,24,65,36.9,11,14,78.6,19,59,78,21,13,7,22,48,336,0,0,24
268,R.J. Hampton,ORL,21,21,4,17,326.8,136,46,105,43.8,17,49,34.7,27,31,87.1,9,25,34,32,19,16,4,20,266,0,0,-44
269,Bogdan Bogdanovic,ATL,30,7,3,4,199.4,135,48,106,45.3,29,68,42.6,10,12,83.3,1,29,30,14,16,4,1,8,191,0,0,2
270,Dennis Schroder,LAL,29,15,9,6,395.2,135,45,113,39.8,13,43,30.2,32,34,94.1,2,25,27,56,20,8,0,29,255,0,0,-8
271,Derrick Jones Jr.,CHI,25,24,7,17,330.0,135,47,94,50.0,11,31,35.5,30,36,83.3,23,33,56,13,9,13,17,32,303,0,0,12
272,Isaac Okoro,CLE,21,31,20,11,569.2,129,47,116,40.5,12,54,22.2,23,28,82.1,14,51,65,18,20,20,12,57,310,0,0,-1
273,Isaiah Livers,DET,24,22,5,17,430.3,128,42,104,40.4,29,81,35.8,15,20,75.0,11,39,50,13,13,9,12,42,258,0,0,-129
274,Anthony Lamb,GSW,24,23,12,11,410.6,127,50,98,51.0,25,64,39.1,2,6,33.3,16,55,71,34,24,14,7,48,302,0,0,-50
275,Trey Lyles,SAC,27,22,13,9,304.3,127,43,108,39.8,24,71,33.8,17,23,73.9,21,42,63,16,19,6,7,24,247,0,0,-2
276,Chimezie Metu,SAC,25,24,14,10,274.9,125,52,89,58.4,5,21,23.8,16,20,80.0,15,60,75,16,17,9,5,28,264,0,0,-6
277,Cory Joseph,DET,31,26,7,19,406.2,125,47,113,41.6,17,48,35.4,14,20,70.0,7,22,29,85,16,8,2,37,301,0,0,-22
278,Garrison Mathews,HOU,26,24,8,16,320.5,125,33,86,38.4,30,81,37.0,29,31,93.5,5,24,29,10,7,13,3,32,216,0,0,8
279,Moses Moody,GSW,20,26,12,14,382.8,124,41,94,43.6,23,61,37.7,19,23,82.6,9,36,45,20,23,9,5,24,227,0,0,-45
280,Darius Bazley,OKC,22,21,7,14,355.2,123,47,108,43.5,11,31,35.5,18,35,51.4,20,62,82,22,12,12,25,27,353,0,0,8
281,Kendrick Nunn,LAL,27,24,10,14,291.3,122,47,132,35.6,18,66,27.3,10,11,90.9,1,27,28,25,25,5,1,20,186,0,0,-39
