,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
462,Trevor Hudgins,HOU,23,1,0,1,3.8,3,1,1,100,1,1,100,0,0,0.0,0,0,0,0,0,0,0,0,3,0,0,-2
463,Udonis Haslem,MIA,42,5,3,2,36.8,3,1,10,10.0,0,1,0.0,1,2,50.0,3,3,6,0,0,1,1,7,16,0,0,-19
464,A.J. Lawson,MIN,22,1,1,0,1.8,2,1,1,100,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,3,0,0,-5
465,Chima Moneke,SAC,26,2,1,1,7.9,2,1,2,50.0,0,0,0.0,0,2,0.0,2,0,2,1,2,0,0,2,4,0,0,-9
466,Isaiah Todd,WAS,21,4,2,2,12.6,2,1,4,25.0,0,3,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,0,0,-3
467,JD Davison,BOS,20,3,3,0,8.5,2,1,4,25.0,0,2,0.0,0,0,0.0,0,1,1,1,1,1,0,0,7,0,0,-4
468,Jack White,DEN,25,8,6,2,25.6,2,1,6,16.7,0,2,0.0,0,0,0.0,2,3,5,0,0,1,2,4,17,0,0,-27
469,John Butler Jr.,POR,20,4,0,4,15.4,2,1,3,33.3,0,2,0.0,0,0,0.0,1,1,2,1,0,0,1,0,9,0,0,8
470,McKinley Wright IV,DAL,24,2,1,1,7.5,2,1,4,25.0,0,1,0.0,0,0,0.0,2,1,3,3,0,1,0,0,13,0,0,7
471,Mfiondu Kabengele,BOS,25,1,1,0,8.3,2,1,2,50.0,0,1,0.0,0,0,0.0,3,1,4,0,0,0,0,1,7,0,0,-2
472,Stanley Johnson,SAS,26,2,0,2,6.8,2,1,3,33.3,0,1,0.0,0,0,0.0,0,1,1,2,1,0,0,0,5,0,0,2
473,Alondes Williams,BKN,23,1,1,0,5.3,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,2,0,0,1,-1,0,0,-5
474,Buddy Boeheim,DET,23,1,0,1,1.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2
475,Cody Martin,CHA,27,1,1,0,0.9,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-6
476,Cole Swider,LAL,23,1,0,1,1.9,0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,0,0,3,0,0,3
477,Dereon Seabron,NOP,22,2,1,1,2.5,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-1
478,Julian Champagnie,PHI,21,2,2,0,6.7,0,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,1,0,0,3,0,0,-4
479,Keon Ellis,SAC,22,3,1,2,9.1,0,0,1,0.0,0,1,0.0,0,0,0.0,0,2,2,1,0,0,0,2,4,0,0,8
480,Malcolm Hill,CHI,27,3,3,0,1.2,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,1,0,0,-2
481,Marko Simonovic,CHI,23,1,0,1,1.7,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-8
482,Michael Foster Jr.,PHI,19,1,1,0,1.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-2
483,Neemias Queta,SAC,23,1,0,1,2.4,0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,1,0,0,0,3,3,0,0,-6
484,Ryan Arcidiacono,NYK,28,7,4,3,18.4,0,0,4,0.0,0,2,0.0,0,0,0.0,0,4,4,2,1,2,0,2,13,0,0,4
485,Trevelin Queen,IND,25,2,1,1,19.7,0,0,3,0.0,0,3,0.0,0,0,0.0,1,2,3,2,3,1,1,1,10,0,0,-2
486,Trevor Keels,NYK,19,1,1,0,1.0,0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,1,0,0,-2
487,Vernon Carey Jr.,WAS,21,3,2,1,5.1,0,0,2,0.0,0,0,0.0,0,0,0.0,0,1,1,0,1,0,0,2,0,0,0,-13
